product_id;product_name;product_price;product_price_new;product_color;product_fit;product_size;product_materials;product_composition;data_scrapy
1008549003;Regular Jeans;$57.99;NaN;Dark gray;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 65%, Cotton 35%;12/04/2022 13:40
1008549004;Regular Jeans;$57.99;NaN;Dark blue;Regular fit;"The model is 180cm/5'11"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Polyester 63%, Cotton 37%;12/04/2022 13:40
1008549006;Regular Jeans;$57.99;$24.99;Black;Regular fit;"The model is 188cm/6'2"" and wears a size 31/30";Shell: Recycled cotton 20%;CompositionPocket: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549007;Regular Jeans;$57.99;NaN;Light gray;Regular fit;"The model is 186cm/6'1"" and wears a size 31/32";Lining: Recycled cotton 20%;CompositionPocket: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
1008549008;Regular Jeans;$57.99;NaN;Light denim blue;Regular fit;NaN;Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159001;Skinny Jeans;$19.99;NaN;Black;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159002;Skinny Jeans;$19.99;NaN;Denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Cotton 100%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159004;Skinny Jeans;$19.99;NaN;Light denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159005;Skinny Jeans;$19.99;NaN;Dark blue;Skinny fit;"The model is 189cm/6'2"" and wears a size 32/32";Shell: Recycled cotton 20%;CompositionShell: Cotton 99%, Spandex 1%Pocket lining: Cotton 100%;12/04/2022 13:40
985159006;Skinny Jeans;$19.99;NaN;Dark denim blue;Skinny fit;"The model is 185cm/6'1"" and wears a size 31/32";Shell: Recycled cotton 20%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
985159007;Skinny Jeans;$19.99;NaN;Denim blue;Skinny fit;"The model is 187cm/6'2"" and wears a size 32/32";Lining: Recycled polyester 65%, Recycled cotton 10%;CompositionPocket lining: Polyester 65%, Cotton 35%Shell: Cotton 99%, Spandex 1%;12/04/2022 13:40
